OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,France Central,France South *,Germany North *,Germany West Central,India South Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,West Central US,West Europe,West India *,West US,West US 2,West US 3
Redis Cache,Compute Optimized,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,,,,,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Redis Cache,Flash Optimized,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA
Redis Cache,Memory Optimized,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,,,,,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Redis Cache,Redis Cache,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,,,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,,,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Redis Cache,Redis Enterprise,,,Closing Down,,Closing Down,Closing Down,Closing Down,,Closing Down,,Closing Down,Closing Down,Closing Down,,,,,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,,Closing Down,,Closing Down,,Closing Down,,Closing Down,Closing Down,Closing Down,,Closing Down,,Closing Down,,Closing Down,Closing Down,,,Closing Down,,Closing Down,Closing Down,Closing Down
Redis Cache,Redis Enterprise Flash,,,GA,,GA,GA,GA,,GA,,GA,GA,GA,,,,,,,GA,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,,GA,,GA,GA,GA,,GA,,,,GA,GA,,,GA,,GA,GA,GA
Resource Move,General,,,GA,,,,GA,,GA,,GA,,,,,,,GA,,,,,GA,GA,,,GA,,,,,GA,,GA,,,,,,,GA,GA,,GA,GA,,,,,GA,,GA,,GA,,,,GA,GA,,,,,,,
Security Platform (Purview),General,,,GA,,,,GA,,GA,GA,GA,,,,,,,,GA,,,GA,GA,GA,,,GA,,,,,GA,,GA,,,,,,,GA,,,,GA,GA,,GA,,GA,,GA,,GA,,,,GA,GA,,GA,GA,,GA,GA,GA
Service Bus,General,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Service Bus,Premium,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
