OfferingName,ProductSkuName,Australia Central,Australia Central 2 *,Australia East,Australia Southeast,Austria East,Belgium Central,Brazil South,Brazil Southeast,Canada Central,Canada East,Central India,Central US,Chile Central,China East,China East 2,China East 3 *,China North,China North 2,China North 3,Denmark East,East Asia,East US,East US 2,East US 3,France Central,France South *,Germany North *,Germany West Central,Indonesia Central,Israel Central,Italy North,Japan East,Japan West,Korea Central,Korea South *,Malaysia West,Mexico Central,New Zealand North,Non Regional,North Central US,North Europe,Norway East,Norway West *,Poland Central,Qatar Central,South Africa North,South Africa West *,South Central US,South India,Southeast Asia,Spain Central,Sweden Central,Sweden South *,Switzerland North,Switzerland West *,Taiwan North **,UAE Central *,UAE North,UK South,UK West,USGov Arizona **,USGov Texas,USGov Virginia,West Central US,West Europe,West India *,West US,West US 2,West US 3
Automation,Update Management,,,GA,,,,GA,,GA,,GA,GA,,,GA,,,,,,GA,GA,GA,,GA,,,,,,,GA,,GA,,,,,,GA,GA,GA,,,,GA,,GA,,GA,,,,GA,,,,GA,GA,,GA,,GA,,GA,,GA,GA,
Azure Active Directory B2C,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Advisor,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Advisor,Azure Advisor Score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure AI Search,Offer Coverage,,,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure AI Search,AI Enrichment,,,GA,,,,GA,,GA,,GA,GA,,,GA,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,GA,GA,,,,,,GA,GA,GA,,,,GA,,GA,,GA,,GA,,GA,GA,,,GA,GA,,GA,,GA,GA,GA,,GA,GA,GA
Azure AI Search,Semantic Ranker,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,,GA,,,GA,,,GA,GA,GA,GA,GA,,,,,GA,GA,,,GA,GA,,,GA,,GA,,GA,,GA,GA,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA
Azure Analysis Services,Offer Coverage,,,GA,GA,,,GA,,GA,,,GA,,,GA,,GA,,,,,GA,GA,,,,,,,,,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,,,,,,,,GA,,GA,GA,,GA,GA,GA,GA,GA,
Azure App Configuration,Offer Coverage,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure App Service Static Web Apps,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure App Service Static Web Apps,Static Web Apps Free,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure App Service Static Web Apps,Static Web Apps Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure App Testing,Offer Coverage,,,GA,,,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,GA,GA,,,,GA,,,,,GA,,,,,,,GA,,GA,,GA,,GA,,,,,GA,,,,GA,,GA,,,GA,GA
Azure App Testing,Playwright Workspaces,,,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,GA
Azure Applied AI Services,Azure AI Document Intelligence,,,GA,,GA,,GA,,GA,,GA,GA,,,GA,,,GA,GA,,GA,GA,GA,,GA,,,GA,,,,GA,GA,GA,,,,,,GA,GA,GA,,,GA,GA,,GA,,GA,,GA,,GA,GA,,,GA,GA,,GA,,GA,GA,GA,,GA,GA,GA
Azure Applied AI Services,Azure AI Immersive Reader,,,GA,,,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,GA,GA,,,,,,GA,GA,GA,,,,GA,,GA,,GA,,GA,,GA,GA,,,GA,GA,,,,,GA,GA,,GA,GA,GA
Azure Applied AI Services,Azure Video Indexer,,,GA,,,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,GA,GA,,,,,,,GA,,,,,,,GA,,GA,,GA,,GA,GA,,,,GA,,GA,,GA,GA,GA,,GA,GA,GA
Azure Arc Appliance,Offer Coverage,,,GA,,,,,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,,,,,,,GA,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,GA,,,GA,,GA,,,GA,GA
Azure Arc enabled Kubernetes,Offer Coverage,,,GA,,,,GA,,GA,GA,GA,GA,,,GA,,,GA,,,GA,GA,GA,,GA,,,GA,,GA,GA,GA,,GA,,,,,,GA,GA,GA,,,,GA,,GA,GA,GA,,GA,,GA,,,,GA,GA,GA,,,GA,GA,GA,,GA,GA,GA
Azure Arc enabled Kubernetes,Arc enabled Open Service Mesh,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,GA,,,GA,,,,,,,,,,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,,,,,GA,,,GA,GA
Azure Arc enabled Kubernetes,Azure Key Vault secrets provider extension,,,GA,,,,GA,,GA,,,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,GA,GA,,GA,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,,,,GA,GA,,GA,GA,GA
Azure Arc enabled System Center Virtual Machine Manager,Offer Coverage,,,GA,,,,,,,,,GA,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,,,,,,GA,,,GA,GA
Azure Arc enabled VMware vSphere,Offer Coverage,,,GA,,,,,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,,,,,,,GA,GA,,,,,,,,GA,GA,,,,,,,GA,,GA,,GA,,,,,,,GA,GA,,,,,GA,,,GA,GA
Azure Arc-enabled servers,Offer Coverage,,,GA,GA,,,GA,,GA,GA,GA,GA,,,GA,,,GA,GA,,GA,GA,GA,,GA,,,GA,,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA
Azure Arc-enabled SQL Server,Offer Coverage,,,GA,,,,GA,,GA,GA,GA,GA,,,,,,,,,,GA,GA,,GA,,,,,,,GA,,GA,,,,,,,GA,GA,,,,GA,,GA,,GA,,GA,,GA,,,,GA,GA,GA,,,GA,GA,GA,,,GA,GA
Azure Automanage Machine Configuration,Offer Coverage,,,GA,,,,GA,,GA,GA,GA,GA,,,GA,,,,GA,,GA,GA,GA,,GA,GA,,GA,,,,GA,GA,GA,GA,,,,,GA,GA,GA,,,GA,GA,GA,GA,,GA,,GA,,GA,GA,,,GA,GA,,GA,,GA,GA,GA,,GA,GA,GA
Azure Bastion,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,,,GA,GA,GA,GA,,,,,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Bastion,Bastion Developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,,,,,,,,,,,,,,,GA,,,GA,,
Azure Bastion,Bastion Standard SKU,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,GA,,,GA,
Azure Blueprints,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Bot Service,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Business Continuity Center,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Carbon Optimization,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Center for SAP Solutions,Offer Coverage,GA,,GA,,,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,GA,GA,,GA,,,,,,GA,GA,GA,,,,GA,,GA,,GA,,GA,,GA,,,,GA,GA,,,,,,GA,,GA,GA,GA
Azure Chaos Studio,Offer Coverage,,,GA,,,,GA,,,,,GA,,,,,,,,,,GA,GA,,,,,,,,,GA,,,,,,,,GA,,,,,,,,,,GA,,GA,,,,,,,GA,,,,,GA,GA,,GA,,
Azure Chaos Studio,Resource Targeting,,,GA,,,,GA,,,,,GA,,,,,,,,,GA,GA,GA,,,,,,,,,GA,,,,,,,,GA,GA,,,,,,,,,GA,,GA,,,,,,,GA,,,,,GA,GA,,GA,GA,GA
Azure Cloud HSM,Offer Coverage,,,GA,GA,,,GA,,GA,GA,,GA,GA,,,,,,,,,GA,GA,,GA,,,GA,,,GA,GA,GA,,,,GA,,,,GA,,,,,,,GA,,GA,,GA,,GA,GA,,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure Communication Services,Offer Coverage,,,GA,,,,GA,,GA,,GA,GA,,,,,,,,GA,GA,GA,GA,,GA,,GA,GA,GA,,,GA,,GA,,,,,,GA,GA,,,,,GA,,GA,,GA,,,,GA,GA,GA,GA,GA,GA,,,,GA,,GA,,GA,GA,GA
Azure Compute Fleet,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,,,,,,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,,GA,GA,GA,GA,GA,GA
Azure Confidential Ledger,Offer Coverage,,,,,,,,,,,GA,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,GA,,,,,,,,GA,,,,,,,GA,,GA,,
Azure Container Apps,Offer Coverage,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,GA,,GA,GA,GA,,GA,GA,,GA,,,GA,GA,GA,GA,,,,,,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,,GA,GA,,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure Container Apps,Azure Container Apps - Azure Arc,,,,,,,,,,,,,,,,,,,,,Preview,Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,Preview,,,,,,,,,,,,,,,Preview,,,,
Azure Container Apps,Azure Container Apps - Dedicated,,,GA,,,,GA,,GA,,,GA,,,,,,,GA,,GA,GA,GA,,GA,,,GA,,,,GA,,GA,,,,,,GA,GA,GA,,,,GA,,GA,,GA,,GA,,GA,,,,GA,GA,,,,,,GA,,GA,GA,GA
Azure Container Storage,Offer Coverage,,,Preview,,,,Preview,,Preview,Preview,Preview,Preview,,,,,,,,,Preview,Preview,Preview,,Preview,,,Preview,,,,Preview,,Preview,,,,,,Preview,Preview,,,,,Preview,,Preview,,Preview,,Preview,,Preview,,,,Preview,Preview,,,,,Preview,Preview,,Preview,Preview,Preview
Azure Cosmos DB,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Data Box,Offer Coverage,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,GA,GA,GA,,,,GA,GA,GA,GA,,,,,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,
Azure Data Box,Data Box,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,GA,GA,GA,,,,GA,GA,GA,GA,,,,,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,
Azure Data Box,Data Box 120,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,,,,,,,,,,GA,GA,,,,,,GA,,,,GA,GA,GA,GA,,,,,,,GA,GA,,GA,GA,,,GA,GA,,,,GA,GA,,GA,GA,GA,,,,GA,,GA,GA,,GA,
Azure Data Box,Data Box 525,GA,GA,GA,GA,,,,,GA,,GA,,,,,,,,,,,GA,,GA,,,,GA,,,,GA,GA,,,,,,,,,,,,GA,,,,GA,GA,,,,,,,,,GA,,,,GA,,GA,GA,,,
Azure Data Box,Data Box Disk,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,GA,GA,,GA,GA,,,GA,GA,GA,,GA,GA,,GA,,,,GA,GA,GA,GA,,,,,GA,GA,,GA,,,GA,,GA,GA,GA,,,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,
Azure Data Box,Data Box Heavy,,,,,,,,,,,,GA,,,,,,,,,,GA,GA,,GA,GA,,,,,,,,,,,,,,GA,GA,,,,,,,GA,,,,GA,GA,,,,,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,
Azure Data Box,Import/Export,,,GA,GA,,,GA,,GA,GA,GA,GA,,GA,GA,,GA,,,,GA,GA,GA,,GA,,,GA,,,,GA,GA,GA,,,,,,GA,GA,GA,,,,GA,,GA,GA,GA,,GA,,GA,GA,,,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,
Azure Data Explorer,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Data Lake Storage Gen1,Offer Coverage,,,,,,,,,,,,Closing Down,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,Closing Down,,,,,,,,,,,,,,,,,,,,,,,,Closing Down,,,,
Azure Data Manager for Energy,Offer Coverage,,,GA,,,,GA,,,,GA,,,,,,,,,,,GA,,,,,,,GA,,,,,,,,,,,,GA,,,,GA,GA,,GA,,GA,,GA,,,,,,GA,,,,,,,GA,,,,
Azure Data Share,Offer Coverage,,,GA,,,,,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,,,,,,,,,,,,,,,,,GA,,,,,GA,,GA,,GA,,,,,,,,,GA,,GA,,GA,,GA,,GA,GA,
Azure Data Share,Snapshot Execution,,,GA,GA,,,GA,,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,GA,GA,,,,,,GA,GA,GA,,,,GA,,GA,GA,GA,,,,GA,,,,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,
Azure Database for MariaDB,Offer Coverage,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,,,Closing Down,,,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Azure Database for MySQL,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Database for MySQL,Azure Database for MySQL - Flexible Server,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure Database for MySQL,Azure Database for MySQL - Single Server,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,,,,Closing Down,Closing Down,Closing Down,Closing Down,,,,,Closing Down,Closing Down,Closing Down,Closing Down,,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,,Closing Down,,Closing Down,Closing Down,,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down,Closing Down
Azure Database for PostgreSQL,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,,,GA,GA,GA,,GA,GA,GA,GA,,,,GA,GA,GA,GA,,,,,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Database for PostgreSQL,Azure Database for PostgreSQL   Azure Arc,,,Preview,,,,Preview,,Preview,Preview,Preview,Preview,,,,,,,,,Preview,Preview,Preview,,Preview,,,,,,,Preview,,Preview,,,,,,Preview,Preview,Preview,,,,Preview,,Preview,,Preview,,Preview,,Preview,,,,Preview,Preview,Preview,,,,Preview,Preview,,Preview,Preview,Preview
Azure Database for PostgreSQL,Azure Database for PostgreSQL - Flexible Server,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure Database for PostgreSQL,Hyperscale (Citus),GA,,GA,,,,GA,,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,,,GA,,,,GA,GA,GA,,,,,,GA,GA,,,GA,GA,,,GA,GA,GA,,GA,,GA,GA,,,,GA,,,,,GA,GA,,GA,GA,GA
Azure Database Migration Service,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA
Azure Databricks,Offer Coverage,GA,GA,GA,GA,,,GA,,GA,GA,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,,GA,,,GA,,,,GA,GA,GA,,,GA,,,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,,GA,GA,,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA
Azure DDoS Protection,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,,GA,,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure DDoS Protection,DDoS IP Protection,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,GA
Azure Dedicated HSM,Offer Coverage,,,Closing Down,Closing Down,,,,,Closing Down,Closing Down,Closing Down,,,,,,,,,,Closing Down,Closing Down,Closing Down,,,,,,,,,Closing Down,Closing Down,,,,,,,,Closing Down,,,,,,,Closing Down,Closing Down,Closing Down,,,,Closing Down,Closing Down,,,,Closing Down,Closing Down,,Closing Down,Closing Down,,Closing Down,,Closing Down,Closing Down,
Azure Defender for IoT,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Deployment Environments,Offer Coverage,,,GA,,,,GA,,GA,,GA,GA,,,,,,,,,GA,GA,GA,,,,,GA,,,GA,GA,,GA,,,,,,,GA,,,,,GA,,GA,,GA,GA,GA,,GA,,,,,GA,,,,,,GA,,,GA,GA
Azure Device Registry,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,GA,GA,,,,,GA,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,GA,,GA,GA,GA
Azure DevOps,Offer Coverage,,,GA,,,,GA,,GA,,,GA,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,GA,,,,,,,,GA,GA,,,,,,,,,,GA,,,,,,GA,,,,
Azure DevTest Labs,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,GA,,GA,,,,GA,GA,GA,GA,,,,,GA,GA,GA,,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Digital Twins,Offer Coverage,,,GA,,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,GA,,,,,,,,,GA,,,,,,,GA,,GA,,,,,,,,,GA,,,,,GA,GA,,,GA,
Azure DNS,Offer Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure DNS,Azure DNS Private Resolver,GA,,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,,,GA,,,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA
Azure DNS,Azure DNS Private Zones,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure DNS,Azure DNS Public Zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azure Elastic SAN,Offer Coverage,,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,,,,,,,GA,GA,GA,,GA,GA,GA,GA,,,,GA,GA,GA,GA,,,,,GA,GA,GA,GA,,,GA,,GA,,GA,,GA,GA,GA,,,,GA,GA,GA,,,,GA,GA,,GA,GA,GA
Azure Files,Offer Coverage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Files,Geo redundant HDD storage,,,,,GA,,,,,,,,,,,,,,,,,,GA,GA,,,,,,,,,GA,,,,GA,GA,,GA,,,,,,,,GA,,,GA,,,,,GA,,,GA,,,,,,,,,,
Azure Files,Locally redundant HDD storage,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Files,Locally redundant SSD storage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Files,Zone redundant SSD storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA,
Azure Firewall,Offer Coverage,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,GA,,GA,GA,GA,GA,,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Firewall,Azure Firewall Basic,GA,,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
Azure Firewall,Azure Firewall Premium,GA,GA,GA,GA,,,GA,GA,GA,GA,GA,GA,,,GA,GA,,GA,GA,GA,GA,GA,GA,,GA,GA,,GA,GA,GA,GA,GA,GA,GA,GA,,,,,GA,GA,GA,,GA,GA,GA,GA,GA,GA,GA,,GA,,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA,GA
